id,city.address,city.neighborhood,city.lat,city.lon,google.lat,google.lon,city_google.distance
3163,"RUA CANDIDO PORTINARI, 121",CAMBEBA,-3.801795,-38.483966,-3.80179,-38.4839745,0.547381
3164,"AVENIDA PEDRO LAZAR, 1303",PARQUE IRACEMA,-3.805134,-38.488474,-3.80513875,-38.48844465,1.649466
3165,"AVENIDA PEDRO LAZAR, 1303",PARQUE IRACEMA,-3.805331,-38.488537,-3.80513875,-38.48844465,11.85296
3166,"AVENIDA WASHINGTON SOARES, S/R",CAMBEBA,-3.802428,-38.479463,-3.80246685,-38.47947725,2.300077
3167,"AVENIDA WASHINGTON SOARES, 5049",JOSÉ DE ALENCAR,-3.802419,-38.479313,-3.80246685,-38.47947725,9.492205
3168,"AVENIDA WASHINGTON SOARES, 5295",JOSÉ DE ALENCAR,-3.805469,-38.479051,-3.80546805,-38.47902655,1.357389
3169,"AVENIDA WASHINGTON SOARES, 5300",CAMBEBA,-3.805478,-38.479203,-3.80546805,-38.47902655,9.804162
317,"RUA BRUNO VALENTE, 307",SERRINHA,-3.784534,-38.538014,-3.78452425,-38.53802725,0.913323
3170,"AVENIDA WASHINGTON SOARES, 5461",CAMBEBA,-3.807154,-38.479091,0.0,0.0,0.0
3172,"AVENIDA MAE LISBOA, 1011",JOSÉ DE ALENCAR,-3.807618,-38.470811,-3.80763415,-38.47081175,0.898862
3174,"AVENIDA PRS ARTUR BERNARDES, S/N",JOSÉ DE ALENCAR,-3.80792,-38.468899,-3.8079937,-38.4690097,7.382567
3178,"RUA MAE LISBOA, 70",SAPIRANGA / COITÉ,-3.806535,-38.4603,-3.80653775,-38.46027685,1.293311
3179,"RUA FRANCISCA BEZERRA, 417",SAPIRANGA / COITÉ,-3.805017,-38.459911,-3.80501175,-38.45993535,1.38199
318,"RUA PARAGUAÇU, 1065",SERRINHA,-3.783739,-38.53847,-3.78375175,-38.5384363,1.999428
3180,"RUA JOSE JULIO FEITOSA, 420",SAPIRANGA / COITÉ,-3.803336,-38.458184,-3.80332795,-38.4582073,1.36786
3181,"RUA FRANCISCA BEZERRA, 275",SAPIRANGA / COITÉ,-3.803607,-38.459451,-3.8036031,-38.45946265,0.681688
3182,"RUA BENEDITO DE SOUSA, S/N",SAPIRANGA / COITÉ,-3.802481,-38.45855,-3.80250675,-38.45855875,1.511687
3183,"RUA JOSE JULIO FEITOSA, 70",SAPIRANGA / COITÉ,-3.80646,-38.459219,-3.8064548,-38.4592384,1.114367
3185,"AVENIDA MAE LISBOA, 5860",SAPIRANGA / COITÉ,-3.806365,-38.455309,-3.80630335,-38.45532145,3.496476
3188,"RUA ANSELMO NOGUEIRA, 445",SABIAGUABA,-3.805046,-38.451488,-3.8049914,-38.4515139,3.358481
319,"RUA PARAGUAÇU, 231",SERRINHA,-3.78362,-38.538429,-3.78375175,-38.5384363,7.336152
3190,"RUA ANSELMO NOGUEIRA, 299",SABIAGUABA,-3.803832,-38.451554,-3.8038295,-38.45153615,0.999936
3191,"RUA ANSELMO NOGUEIRA, 299",SABIAGUABA,-3.803738,-38.451559,-3.8038295,-38.45153615,5.242718
3193,"RUA ANSELMO NOGUEIRA, 130",SABIAGUABA,-3.801638,-38.451674,-3.8018696,-38.45165125,12.938074
3196,"AVENIDA MAE MANOEL MAVIGNIER, 7185",SABIAGUABA,-3.808943,-38.415074,-3.80897165,-38.41508805,1.773336
3198,"RUA 13 PLANALTO ITAPERI, 85",PARQUE DOIS IRMÃOS,-3.810056,-38.553694,-3.81001625,-38.55380865,6.733182
32,"AVENIDA FRANCISCO SA, 7320",BARRA DO CEARÁ,-3.707274,-38.584548,-3.7072964,-38.5845661,1.599817
320,"RUA PARAGUAÇU, 787",SERRINHA,-3.782477,-38.53801,-3.78248605,-38.5379925,1.093476
3200,"AVENIDA BERNARDO MANOEL, 10582",MONDUBIM,-3.811592,-38.555382,-3.8116865,-38.5554757,7.390729
3201,"AVENIDA BERNARDO MANOEL, 10921",MONDUBIM,-3.814892,-38.556408,-3.81500265,-38.55626985,9.827449
3202,"AVENIDA BERNARDO MANOEL, 10919",MONDUBIM,-3.815023,-38.556319,-3.81500265,-38.55626985,2.951985
3204,"AVENIDA BERNARDO MANOEL, 7154",SERRINHA,-3.780905,-38.546009,-3.7808929,-38.54603385,1.533974
3205,"AVENIDA BERNARDO MANOEL, 7211",SERRINHA,-3.78144,-38.546046,-3.7814332,-38.5460722,1.501846
3208,"AVENIDA EMBARQUE DESEMBARQUE AERO, SN",AEROPORTO,-3.778988,-38.540364,-3.77901295,-38.5403694,1.419136
3209,"AVENIDA CARLOS JEREISSATI, 1550",AEROPORTO,-3.781311,-38.538328,-3.78131855,-38.53833245,0.486974
321,"RUA PARAGUAÇU, 740",SERRINHA,-3.782353,-38.537968,-3.78248605,-38.5379925,7.521073
3210,"AVENIDA LAURO VIEIRA CHAVES, 275",AEROPORTO,-3.773302,-38.529573,-3.77331965,-38.5295423,1.965613
3211,"AVENIDA LAURO VIEIRA CHAVES, 605",AEROPORTO,-3.773468,-38.53143,-3.7735733,-38.5312564,11.270597
3212,"AVENIDA BR 116, 6005",AEROLÂNDIA,-3.773805,-38.515934,-3.7739233,-38.51579165,10.277357
3214,"AVENIDA BR 116, 6243",AEROLÂNDIA,-3.77577,-38.515374,-3.7758044,-38.51524785,7.255026
3215,"RODOVIA BR 116, 6306",AEROLÂNDIA,-3.77695,-38.515311,-3.7772002,-38.51543095,15.420215
3216,"AVENIDA BR 116, 6395",AEROLÂNDIA,-3.777778,-38.514855,-3.77765885,-38.5147757,7.95217
3218,"AVENIDA DOR RAUL BARBOSA, 6932",AEROLÂNDIA,-3.774526,-38.512942,-3.7745322,-38.51292965,0.766966
3219,"AVENIDA RAUL BARBOSA, 6979",AEROLÂNDIA,-3.774232,-38.5128,-3.7745322,-38.51292965,18.174191
322,"RUA BRUNO VALENTE, 155",SERRINHA,-3.78256,-38.53734,-3.7826795,-38.537412,7.752146
3220,"RUA 2 CJ T JEREISSATI, 459",JARDIM DAS OLIVEIRAS,-3.776134,-38.50554,-3.7761017,-38.5055339,1.827405
3227,"RODOVIA BR 116, 6701",AEROLÂNDIA,-3.781442,-38.513643,-3.7815096,-38.514059,23.382223
3229,"RUA ROGACIANO LEITE, 2514",JARDIM DAS OLIVEIRAS,-3.779217,-38.501426,-3.77921575,-38.5014312,0.296731
323,"RUA BRUNO VALENTE, 178",SERRINHA,-3.782686,-38.537384,-3.7826795,-38.537412,1.594822
3231,"RUA FRANCISCO CHAGAS MENDES, 241",ENGENHEIRO LUCIANO CAVALCANTE,-3.775908,-38.501069,-3.775928,-38.50096705,5.764126
3232,"RUA FRANCISCO CHAGAS MENDES, 241",ENGENHEIRO LUCIANO CAVALCANTE,-3.775941,-38.500974,-3.775928,-38.50096705,0.819177
3233,"RUA ESMERINDA MENDES, 869",ENGENHEIRO LUCIANO CAVALCANTE,-3.775266,-38.501069,-3.7752599,-38.5011016,1.840068
3234,"RUA ESMERINDA MENDES, 886",ENGENHEIRO LUCIANO CAVALCANTE,-3.775054,-38.501002,-3.7752599,-38.5011016,12.711283
3235,"RUA ESMERINDA MENDES, 689",ENGENHEIRO LUCIANO CAVALCANTE,-3.773277,-38.500426,-3.773285,-38.50041405,0.79833
3236,"RUA ANTONIO ROCHA, 648",JARDIM DAS OLIVEIRAS,-3.778152,-38.49918,-3.77778405,-38.49919065,20.465617
3237,"RUA ANTONIO ROCHA, 652",JARDIM DAS OLIVEIRAS,-3.777847,-38.49922,-3.77778405,-38.49919065,3.860076
3238,"RUA LUIZA MIRANDA COELHO, 660",ENGENHEIRO LUCIANO CAVALCANTE,-3.773916,-38.490703,-3.7739427,-38.49072155,1.806277
3239,"RUA LUIZA MIRANDA COELHO, 670",ENGENHEIRO LUCIANO CAVALCANTE,-3.773885,-38.490805,-3.7739427,-38.49072155,5.632389
324,"RUA BRUNO VALENTE, 647",SERRINHA,-3.787679,-38.539046,-3.78768495,-38.5390331,0.788399
3240,"RUA LUIZA MIRANDA COELHO, 990",ENGENHEIRO LUCIANO CAVALCANTE,-3.774688,-38.488074,-3.7747154,-38.48807755,1.536048
3241,"RUA LUIZA MIRANDA COELHO, 955",ENGENHEIRO LUCIANO CAVALCANTE,-3.774529,-38.488643,-3.7745567,-38.48864795,1.564341
3242,"RUA LUIZA MIRANDA COELHO, 1135",ENGENHEIRO LUCIANO CAVALCANTE,-3.775104,-38.486688,-3.775181,-38.48650605,10.964306
3243,"AVENIDA WASHINGTON SOARES, SN",EDSON QUEIROZ,-3.776288,-38.481506,-3.77628965,-38.48150635,0.093768
3244,"AVENIDA WASHINGTON SOARES, SN",ENGENHEIRO LUCIANO CAVALCANTE,-3.775036,-38.481778,-3.77504145,-38.48179795,1.147491
3246,"RUA DOR CARLOS R PAMPLONA, 100",EDSON QUEIROZ,-3.774344,-38.480443,-3.77433395,-38.4806563,11.846402
3247,"RUA HILL DE MORAES, SN",EDSON QUEIROZ,-3.774544,-38.478105,-3.7748474,-38.47810685,16.868583
3248,"RUA FRANCISCO SEGUNDO DA COSTA, 210",EDSON QUEIROZ,-3.774807,-38.478083,-3.7748474,-38.47810685,2.606873
3249,"RUA DOR CARLOS R PAMPLONA, 433",EDSON QUEIROZ,-3.774106,-38.477846,-3.77410845,-38.4778458,0.136665
325,"RUA BRUNO VALENTE, 688",SERRINHA,-3.787957,-38.539139,-3.78768495,-38.5390331,16.226181
3251,"RUA HILL DE MORAES, 215",EDSON QUEIROZ,-3.775212,-38.47594,-3.77504285,-38.47561825,20.175523
3252,"RUA HILL DE MORAES, 322",EDSON QUEIROZ,-3.775117,-38.475667,-3.77504285,-38.47561825,4.93049
3253,"RUA HILL DE MORAES, 410",EDSON QUEIROZ,-3.773881,-38.475041,-3.773891,-38.4749953,2.59554
3254,"RUA HILL DE MORAES, 442",EDSON QUEIROZ,-3.773628,-38.474999,-3.773891,-38.4749953,14.623574
3255,"RUA G CJ VILAGE ÁGUA FRIA, 244-A",EDSON QUEIROZ,-3.775313,-38.47262,-3.77532385,-38.4724674,8.487226
3256,"RUA G CJ VILAGE ÁGUA FRIA, SN",EDSON QUEIROZ,-3.775358,-38.472512,-3.77532385,-38.4724674,3.118794
3257,"RUA ESIO LIMA VERDE, 74",EDSON QUEIROZ,-3.773825,-38.472049,-3.77382885,-38.47208645,2.088608
3258,"RUA DOR GUIDO FURTADO PINTO, 75",EDSON QUEIROZ,-3.773893,-38.471521,-3.77387525,-38.471544,1.613065
3259,"RUA DOR GUIDO FURTADO PINTO, 75",EDSON QUEIROZ,-3.774016,-38.471567,-3.77387525,-38.471544,7.928688
326,"RUA ANITA GARIBALDI, 298",SERRINHA,-3.788923,-38.537218,-3.78891675,-38.5372188,0.350307
3260,"RUA CIDADE ECOLOGICA, 121",EDSON QUEIROZ,-3.773062,-38.469275,-3.7729871,-38.4696736,22.501797
3261,"RUA CIDADE ECOLOGICA, 80",EDSON QUEIROZ,-3.772916,-38.469721,-3.7729871,-38.4696736,4.747724
3262,"RUA CIDADE ECOLOGICA, 420",EDSON QUEIROZ,-3.77379,-38.465806,-3.77362305,-38.466209,24.207431
3263,"RUA CIDADE ECOLOGICA, 420",EDSON QUEIROZ,-3.773654,-38.466213,-3.77362305,-38.466209,1.734991
3264,"RUA CIDADE ECOLOGICA, 748",EDSON QUEIROZ,-3.773984,-38.463169,-3.77397715,-38.4631688,0.381004
3266,"AVENIDA VIS RIO BRANCO, 4000",SÃO JOÃO DO TAUAPE,-3.75617,-38.519974,-3.75617515,-38.5199967,1.291491
3267,"RUA MON SALAZAR, 19",SÃO JOÃO DO TAUAPE,-3.756665,-38.5195,-3.75668115,-38.519498,0.904729
3268,"RUA FRE VIDAL, 1814",SÃO JOÃO DO TAUAPE,-3.755735,-38.51776,-3.75573785,-38.517749,0.630494
3269,"RUA MON SALAZAR, 279",SÃO JOÃO DO TAUAPE,-3.756435,-38.517184,-3.75641775,-38.51718575,0.963958
327,"RUA ANITA GARIBALDI, 295",SERRINHA,-3.788949,-38.537148,-3.78891675,-38.5372188,4.317605
3270,"RUA MON SALAZAR, 563",SÃO JOÃO DO TAUAPE,-3.756152,-38.514371,-3.75618315,-38.5143682,1.738814
3271,"RUA PAULO FIRMEZA, 60",SÃO JOÃO DO TAUAPE,-3.757372,-38.515535,-3.7573503,-38.5155417,1.262426
3273,"RUA ANA GONCALVES, 244",SÃO JOÃO DO TAUAPE,-3.759661,-38.514076,-3.75964195,-38.51407775,1.063572
3274,"RUA CAP OLAVO, 173",ALTO DA BALANÇA,-3.763754,-38.516188,-3.76374695,-38.51617305,0.917345
3276,"AVENIDA BORGES DE MELO, 60",ALTO DA BALANÇA,-3.761588,-38.517966,-3.76165025,-38.5180156,4.421531
3277,"AVENIDA BORGES DE MELO, SN",AEROPORTO,-3.761411,-38.519733,-3.76139715,-38.51972835,0.812088
3278,"AVENIDA BORGES DE MELO, SN",AEROPORTO,-3.76114,-38.521038,-3.7611389,-38.5210399,0.121865
328,"RUA ANITA GARIBALDI, 64",SERRINHA,-3.789378,-38.535934,-3.7893646,-38.53592455,0.910972
3280,"AVENIDA AGUANAMBI, 2479",AEROPORTO,-3.759435,-38.523826,-3.75943195,-38.52388815,3.452114
3282,"RUA MONS SALAZAR, 765",SÃO JOÃO DO TAUAPE,-3.755976,-38.51266,-3.7560095,-38.51265525,1.881065
3283,"RUA SABINO MONTE, 3283",SÃO JOÃO DO TAUAPE,-3.759433,-38.511435,-3.7594749,-38.5115669,7.679381
3284,"RUA MON SALAZAR, 1070",SÃO JOÃO DO TAUAPE,-3.755743,-38.510121,-3.7557348,-38.51012195,0.458936
3285,"RUA MON SALAZAR, 1295",SÃO JOÃO DO TAUAPE,-3.755557,-38.508122,-3.75558995,-38.50811815,1.844346
3286,"RUA CRUZ ABREU, 958",SÃO JOÃO DO TAUAPE,-3.757471,-38.507376,-3.7574904,-38.5073743,1.082706
3287,"RUA ANA GONCALVES, 846",SÃO JOÃO DO TAUAPE,-3.759215,-38.508922,-3.75924635,-38.50891765,1.759608
3288,"RUA ANA GONCALVES, 666",SÃO JOÃO DO TAUAPE,-3.759299,-38.509815,-3.75932595,-38.50981255,1.504504
3289,"AVENIDA ALM HENRIQUE SABOIA, S/N",SÃO JOÃO DO TAUAPE,-3.756784,-38.50458,-3.75645035,-38.50464505,18.897876
329,"RUA MAD ELIZA BALDA, 68",SERRINHA,-3.787005,-38.54041,-3.78697565,-38.5404012,1.703248
3290,"AVENIDA ENG RAUL BARBOSA, SN",SÃO JOÃO DO TAUAPE,-3.756023,-38.504442,-3.7560191,-38.50441745,1.379138
3291,"AVENIDA DOR RAUL BARBOSA, 900",SÃO JOÃO DO TAUAPE,-3.759367,-38.504618,-3.75936865,-38.5044832,7.478974
3292,"AVENIDA RAUL BARBOSA, 900",SÃO JOÃO DO TAUAPE,-3.759373,-38.504446,-3.75936865,-38.5044832,2.077898
3293,"AVENIDA DOR RAUL BARBOSA, 4180",SÃO JOÃO DO TAUAPE,-3.761784,-38.508053,-3.76165045,-38.5079704,8.725259
3294,"AVENIDA RAUL BARBOSA, 1100",SÃO JOÃO DO TAUAPE,-3.76144,-38.506439,-3.7614187,-38.50644375,1.213191
3295,"AVENIDA ROGACIANO LEITE, 200",SALINAS,-3.759117,-38.492056,-3.7591127,-38.49207605,1.137732
3296,"AVENIDA ROGACIANO LEITE, 502",GUARARAPES,-3.763144,-38.494167,-3.76314515,-38.4941614,0.317185
3297,"AVENIDA ROGACIANO LEITE, 524",SALINAS,-3.763533,-38.494594,-3.7635349,-38.49458375,0.578374
33,"AVENIDA FRANCISCO SA, 7330",BARRA DO CEARÁ,-3.707209,-38.584658,-3.7072964,-38.5845661,7.043358
330,"RUA MAD ELISA BALDA, 59",SERRINHA,-3.787068,-38.540223,-3.78697565,-38.5404012,11.139661
