stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,geometry,index_right,bairro
1862,,"RUA JOSE C.G. NOGUEIRA, 142",,-3.731003,-38.47286,,,0,,,,POINT (-38.47286 -3.731003),106.0,VICENTE PINZON
1863,,"RUA JOSE C.G. NOGUEIRA, 280",,-3.730952,-38.472826,,,0,,,,POINT (-38.472826 -3.730952),106.0,VICENTE PINZON
1864,,"RUA JOSE C.G. NOGUEIRA, 147",,-3.732095,-38.473465,,,0,,,,POINT (-38.473465 -3.732095),106.0,VICENTE PINZON
1865,,"AVENIDA ENG SANTANA JUNIOR, 639",,-3.733658,-38.480862,,,0,,,,POINT (-38.480862 -3.733658),85.0,PAPICU
1866,,"AVENIDA ENG SANTANA JUNIOR, 663",,-3.733954,-38.480893,,,0,,,,POINT (-38.480893 -3.733954),85.0,PAPICU
1868,,"AVENIDA ENG ALBERTO SA, 175",,-3.733653,-38.478963,,,0,,,,POINT (-38.478963 -3.733653),106.0,VICENTE PINZON
1870,,"AVENIDA ENG ALBERTO SA, 480",,-3.734393,-38.476433,,,0,,,,POINT (-38.476433 -3.734393),106.0,VICENTE PINZON
1873,,"AVENIDA ENG ALBERTO SA, 1280",,-3.735783,-38.47157,,,0,,,,POINT (-38.47157 -3.735783),106.0,VICENTE PINZON
1875,,"RUA PRO HERACLITO, 785",,-3.732946,-38.473958,,,0,,,,POINT (-38.473958 -3.732946),106.0,VICENTE PINZON
1876,,"RUA PRO HERACLITO, 744",,-3.732841,-38.474329,,,0,,,,POINT (-38.474329 -3.732841),106.0,VICENTE PINZON
1879,,"AVENIDA CESAR CALS, 1297",,-3.728992,-38.460222,,,0,,,,POINT (-38.460222 -3.728992),106.0,VICENTE PINZON
1882,,"RUA HERMINIA BONAVIDES, SN",,-3.731004,-38.462914,,,0,,,,POINT (-38.462914 -3.731004),106.0,VICENTE PINZON
1884,,"AVENIDA ENG ALBERTO SA, 891",,-3.734306,-38.469367,,,0,,,,POINT (-38.469367 -3.734306),106.0,VICENTE PINZON
1885,,"AVENIDA ENG ALBERTO SA, 911",,-3.734726,-38.469477,,,0,,,,POINT (-38.469477 -3.734726),107.0,DE LOURDES
1886,,"AVENIDA HERMINIA BONAVIDES, 555",,-3.732484,-38.466369,,,0,,,,POINT (-38.466369 -3.732484),106.0,VICENTE PINZON
1887,,"AVENIDA HERMINIA BONAVIDES, 555",,-3.732352,-38.465943,,,0,,,,POINT (-38.465943 -3.732352),107.0,DE LOURDES
1888,,"RUA RENATO BRAGA, 200",,-3.732464,-38.460991,,,0,,,,POINT (-38.460991 -3.732464),106.0,VICENTE PINZON
1889,,"RUA RENATO BRAGA, 203",,-3.732341,-38.460743,,,0,,,,POINT (-38.460743 -3.732341),106.0,VICENTE PINZON
189,,"RUA CON CASTRO, S/N",,-3.786789,-38.575067,,,0,,,,POINT (-38.575067 -3.786789),83.0,VILA PERI
1890,,"RUA RENATO BRAGA, SN",,-3.732521,-38.462814,,,0,,,,POINT (-38.462814 -3.732521),74.0,PRAIA DO FUTURO I
1891,,"RUA RENATO BRAGA, 1701",,-3.732558,-38.462717,,,0,,,,POINT (-38.462717 -3.732558),74.0,PRAIA DO FUTURO I
1892,,"AVENIDA CESAR CALS, 1331",,-3.729628,-38.459876,,,0,,,,POINT (-38.459876 -3.729628),106.0,VICENTE PINZON
1893,,"RUA RENATO BRAGA, 190",,-3.731575,-38.459191,,,0,,,,POINT (-38.459191 -3.731575),106.0,VICENTE PINZON
1894,,"RUA RENATO BRAGA, 199",,-3.73164,-38.45932,,,0,,,,POINT (-38.45932 -3.73164),106.0,VICENTE PINZON
1895,,"AVENIDA DIOGUINHO, 1705",,-3.732085,-38.458529,,,0,,,,POINT (-38.458529 -3.732085),74.0,PRAIA DO FUTURO I
1896,,"AVENIDA DIOGUINHO, 1850",,-3.733068,-38.457993,,,0,,,,POINT (-38.457993 -3.733068),74.0,PRAIA DO FUTURO I
1898,,"RUA HIPOLITO PAMPLONA, 16 A",,-3.739517,-38.596965,,,0,,,,POINT (-38.596965 -3.739517),70.0,ANTÔNIO BEZERRA
1899,,"AVENIDA MISTER HULL, 104",,-3.740309,-38.596684,,,0,,,,POINT (-38.596684 -3.740309),70.0,ANTÔNIO BEZERRA
19,,"AVENIDA CEL CARVALHO, 599",,-3.708152,-38.590294,,,0,,,,POINT (-38.590294 -3.708152),59.0,BARRA DO CEARÁ
190,,"RUA CON CASTRO, 1230",,-3.782896,-38.571483,,,0,,,,POINT (-38.571483 -3.782896),87.0,PARANGABA
1900,,"AVENIDA MISTER HULL, 565",,-3.740043,-38.594915,,,0,,,,POINT (-38.594915 -3.740043),70.0,ANTÔNIO BEZERRA
1901,,"RUA PDE PERDIGAO SAMPAIO, 330",,-3.739244,-38.594756,,,0,,,,POINT (-38.594756 -3.739244),70.0,ANTÔNIO BEZERRA
1902,,"RUA ANARIO BRAGA, 844",,-3.73688,-38.593435,,,0,,,,POINT (-38.593435 -3.73688),70.0,ANTÔNIO BEZERRA
1904,,"AVENIDA MIT HULL, 5557",,-3.74012,-38.594082,,,0,,,,POINT (-38.594082 -3.74012),70.0,ANTÔNIO BEZERRA
